"nuts","year","value","level","indicator","type.of.building"
"560","2017",1204,"laucode","bldn_sec","all"
"560","2018",1227,"laucode","bldn_sec","all"
"560","2019",1224,"laucode","bldn_sec","all"
"560","2020",1219,"laucode","bldn_sec","all"
"560","2021",1219,"laucode","bldn_sec","all"
"560","2022",1225,"laucode","bldn_sec","all"
"560","2023",1258,"laucode","bldn_sec","all"
"560","2024",1269,"laucode","bldn_sec","all"
"561","1998",757,"laucode","bldn_sec","all"
"561","1999",754,"laucode","bldn_sec","all"
"561","2000",765,"laucode","bldn_sec","all"
"561","2001",768,"laucode","bldn_sec","all"
"561","2002",767,"laucode","bldn_sec","all"
"561","2003",767,"laucode","bldn_sec","all"
"561","2004",745,"laucode","bldn_sec","all"
"561","2005",773,"laucode","bldn_sec","all"
"561","2006",780,"laucode","bldn_sec","all"
"561","2007",774,"laucode","bldn_sec","all"
"561","2008",774,"laucode","bldn_sec","all"
"561","2009",791,"laucode","bldn_sec","all"
"561","2010",802,"laucode","bldn_sec","all"
"561","2011",796,"laucode","bldn_sec","all"
"561","2012",807,"laucode","bldn_sec","all"
"561","2013",815,"laucode","bldn_sec","all"
"561","2014",806,"laucode","bldn_sec","all"
"561","2015",803,"laucode","bldn_sec","all"
"561","2016",804,"laucode","bldn_sec","all"
"561","2017",808,"laucode","bldn_sec","all"
"561","2018",808,"laucode","bldn_sec","all"
"561","2019",819,"laucode","bldn_sec","all"
"561","2020",820,"laucode","bldn_sec","all"
"561","2021",819,"laucode","bldn_sec","all"
"561","2022",828,"laucode","bldn_sec","all"
"561","2023",820,"laucode","bldn_sec","all"
"561","2024",844,"laucode","bldn_sec","all"
"562","1998",1796,"laucode","bldn_sec","all"
"562","1999",1801,"laucode","bldn_sec","all"
"562","2000",1813,"laucode","bldn_sec","all"
"562","2001",1820,"laucode","bldn_sec","all"
"562","2002",1829,"laucode","bldn_sec","all"
"562","2003",1838,"laucode","bldn_sec","all"
"562","2004",1849,"laucode","bldn_sec","all"
"562","2005",1861,"laucode","bldn_sec","all"
"562","2006",1872,"laucode","bldn_sec","all"
"562","2007",1864,"laucode","bldn_sec","all"
"562","2008",1879,"laucode","bldn_sec","all"
"562","2009",1864,"laucode","bldn_sec","all"
"562","2010",1863,"laucode","bldn_sec","all"
"562","2011",1865,"laucode","bldn_sec","all"
"562","2012",1876,"laucode","bldn_sec","all"
"562","2013",1902,"laucode","bldn_sec","all"
"562","2014",1885,"laucode","bldn_sec","all"
"562","2015",1887,"laucode","bldn_sec","all"
